,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price
8650,3,1,2,90,54,420,100.0,195
8651,4,1,2,90,54,420,100.0,195
8652,5,1,2,90,54,420,100.0,195
8653,6,1,2,90,54,420,100.0,195
8654,7,1,2,90,54,420,100.0,195
8655,8,1,2,90,54,420,100.0,195
8656,9,1,2,90,54,420,73.33,195
8657,10,1,2,90,54,420,0.0,195
8658,11,1,2,90,54,420,0.0,195
8659,12,1,2,90,54,420,0.0,195
8660,1,1,2,90,54,420,43.33,175
8661,9,1,2,90,54,420,90.0,175
8662,1,1,9,93,54,420,25.81,99
8663,2,1,9,93,54,420,0.0,128
8664,3,1,9,93,54,420,51.61,145
8665,4,1,9,93,54,420,100.0,145
8666,5,1,9,93,54,420,58.06,145
8667,6,1,9,93,54,420,83.33,179
8668,7,1,9,93,54,420,38.71,175
8669,8,1,9,93,54,420,0.0,179
8670,9,1,9,93,54,420,100.0,151
8671,10,1,9,93,54,420,96.77,151
8672,11,1,9,93,54,420,33.33,151
8673,12,1,9,93,54,420,100.0,151
8674,1,1,2,100,54,420,0.0,160
8675,2,1,2,100,54,420,100.0,160
8676,3,1,2,100,54,420,100.0,160
8677,4,1,2,100,54,420,100.0,160
8678,5,1,2,100,54,420,100.0,160
8679,6,1,2,100,54,420,50.0,185
8680,7,1,2,100,54,420,0.0,185
8681,8,1,2,100,54,420,0.0,185
8682,9,1,2,100,54,420,86.67,185
8683,10,1,2,100,54,420,54.84,185
8684,11,1,2,100,54,420,0.0,160
8685,12,1,2,100,54,420,0.0,160
8686,1,1,5,100,54,420,16.67,175
8687,2,1,5,100,54,420,0.0,175
8688,3,1,5,100,54,420,93.55,175
8689,4,1,5,100,54,420,90.0,175
8690,5,1,5,100,54,420,80.65,175
8691,6,1,5,100,54,420,80.0,175
8692,7,1,5,100,54,420,0.0,175
8693,8,1,5,100,54,420,100.0,175
8694,9,1,5,100,54,420,100.0,175
8695,10,1,5,100,54,420,100.0,185
8696,11,1,5,100,54,420,60.0,185
8697,12,1,5,100,54,420,41.94,185
8698,1,1,1,100,54,420,100.0,149
8699,2,1,1,100,54,420,100.0,149
8700,3,1,1,100,54,420,100.0,149
8701,4,1,1,100,54,420,100.0,149
8702,5,1,1,100,54,420,100.0,149
8703,6,1,1,100,54,420,100.0,149
8704,7,1,1,100,54,420,100.0,149
8705,8,1,1,100,54,420,100.0,149
8706,9,1,1,100,54,420,100.0,149
8707,10,1,1,100,54,420,100.0,149
