,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
170,1,1,21,94,Williamsburg,1248,26.67,165,71
171,2,1,21,94,Williamsburg,1248,3.45,159,71
172,3,1,21,94,Williamsburg,1248,0.0,167,71
173,4,1,21,94,Williamsburg,1248,100.0,198,71
174,5,1,21,94,Williamsburg,1248,100.0,219,71
175,6,1,21,94,Williamsburg,1248,80.0,219,71
176,7,1,21,94,Williamsburg,1248,87.1,219,71
177,8,1,21,94,Williamsburg,1248,41.94,167,71
178,9,1,21,94,Williamsburg,1248,90.0,219,71
179,10,1,21,94,Williamsburg,1248,87.1,219,71
180,11,1,21,94,Williamsburg,1248,100.0,219,71
181,12,1,21,94,Williamsburg,1248,100.0,219,71
182,1,1,94,97,Williamsburg,1248,70.0,189,71
183,2,1,94,97,Williamsburg,1248,48.28,135,71
184,3,1,94,97,Williamsburg,1248,35.48,195,71
185,4,1,94,97,Williamsburg,1248,53.33,117,71
186,5,1,94,97,Williamsburg,1248,70.97,250,71
187,6,1,94,97,Williamsburg,1248,63.33,288,71
188,7,1,94,97,Williamsburg,1248,83.87,250,71
189,8,1,94,97,Williamsburg,1248,70.97,250,71
190,9,1,94,97,Williamsburg,1248,60.0,250,71
191,10,1,94,97,Williamsburg,1248,87.1,250,71
192,11,1,94,97,Williamsburg,1248,80.0,250,71
193,12,1,94,97,Williamsburg,1248,0.0,255,71
194,1,1,15,99,Williamsburg,1248,100.0,160,71
195,2,1,15,99,Williamsburg,1248,100.0,160,71
196,3,1,15,99,Williamsburg,1248,100.0,160,71
197,4,1,15,99,Williamsburg,1248,100.0,160,71
198,5,1,15,99,Williamsburg,1248,0.0,160,71
199,6,1,15,99,Williamsburg,1248,0.0,160,71
200,7,1,15,99,Williamsburg,1248,0.0,160,71
201,8,1,15,99,Williamsburg,1248,0.0,160,71
202,9,1,15,99,Williamsburg,1248,0.0,160,71
203,10,1,15,99,Williamsburg,1248,100.0,160,71
204,11,1,15,99,Williamsburg,1248,100.0,160,71
205,12,1,15,99,Williamsburg,1248,100.0,160,71
206,1,1,11,98,Williamsburg,1248,83.87,195,71
207,6,1,11,98,Williamsburg,1248,86.67,117,71
208,8,1,11,98,Williamsburg,1248,74.19,117,71
209,9,1,11,98,Williamsburg,1248,50.0,119,71
210,1,1,18,92,Williamsburg,1248,96.77,180,71
211,2,1,18,92,Williamsburg,1248,3.45,180,71
212,3,1,18,92,Williamsburg,1248,0.0,180,71
213,4,1,18,92,Williamsburg,1248,100.0,180,71
214,5,1,18,92,Williamsburg,1248,100.0,180,71
215,6,1,18,92,Williamsburg,1248,100.0,180,71
216,7,1,18,92,Williamsburg,1248,6.45,180,71
217,8,1,18,92,Williamsburg,1248,0.0,180,71
